object	short_title	what_it_does	audible_or_output_result	key_controls	window_height
abl.dsp.ringmod~	Stereo ring modulator	Multiplies the input by an oscillator, creating sum-and-difference sidebands around the source frequencies.	Produces inharmonic, bell-like or tremolo-like spectra depending on modulation frequency; optional Drive adds distortion.	Mix, Frequency, Drive, Enable Drive	505
abl.dsp.swarm~	Multi-oscillator swarm	Generates a cluster of oscillators distributed around a center frequency with controllable spacing and random pitch motion.	Produces chorused, clustered and increasingly inharmonic tones; spacing opens the chord while motion animates individual pitches.	Frequency, Shape, Spacing, Motion	505
abl.dsp.pitchshifter~	Stereo pitch shifter	Changes the pitch of incoming audio by resampling/windowed time-domain processing while preserving overall signal flow.	Transposes the source up or down; Window trades temporal clarity against pitch-shift texture and Wide creates stereo separation.	Mix, Window, Wide, Shift	505
abl.dsp.darkhall~	Dark hall reverb	Creates a large algorithmic hall with controllable decay, room shape, modulation, damping and low-frequency decay behavior.	Produces deep, diffuse ambience; damping and bass controls let the tail become darker, heavier or more separated from the source.	Mix, Mod Depth, Decay, Size, Damping, Freeze	505
abl.device.drift~	Drift synthesizer	A complete polyphonic synthesizer voice based on Ableton Live Drift; it generates audio rather than processing an incoming audio signal.	Produces subtractive-synthesis tones with oscillator variation, filtering, envelopes, modulation, unison and controlled pitch drift.	Voicemode, Voices, Legato, Unison, Stereospread, Glidetime	505
abl.device.limiter~	Limiter	Restricts peaks to a defined output ceiling using fast gain reduction and look-ahead behavior.	Prevents signal peaks from exceeding the ceiling and can increase apparent loudness when driven harder into gain reduction.	Gain, Threshold, Release, Link, Ceiling, Routing	505
abl.dsp.wander~	Wandering modulator	Generates a smoothly changing semi-random modulation signal rather than processing audio.	Creates evolving control motion that does not repeat like a conventional LFO; Step and Morph govern the pace and continuity of the wandering trajectory.	Frequency, Morph, Step, Transform 2, Transform 1, Transform 2 Type	505
abl.device.compressor~	Compressor	Reduces gain when the input exceeds a threshold, narrowing dynamic range according to ratio, attack and release.	Loud peaks are restrained and level becomes more consistent; attack/release determine how much transient shape and pumping remain.	Gain, Threshold, Ratio, Attack, Release	505
abl.dsp.prism~	Prism reverb	Creates an algorithmic reverb whose low- and high-frequency decay times can be scaled independently around a crossover.	Produces a spacious tail with unusually direct spectral-decay control, allowing lows and highs to persist for different lengths.	Mix, Decay, Size, Freeze, Crossover, Low Decay Mult	505
abl.device.delay~	Stereo delay	Creates independently timed stereo echoes with feedback, filtering, modulation and optional ping-pong routing.	Produces discrete repeats, stereo motion, comb-like coloration at short times, or continuously evolving echoes with feedback.	Mix, Delay Time, Feedback, Delay Mod, Mod Rate, Modfilter	505
abl.dsp.shimmer~	Shimmer reverb	Feeds a pitch-shifted component back into an algorithmic reverb tail.	Adds rising, luminous pitched energy above the reverberation; Shimmer/Pitch Shift determine how strongly the tail blooms into upper harmonics.	Mix, Mod Depth, Decay, Size, Damping, Diffusion	505
abl.device.channeleq~	Semi-parametric 3-band channel EQ	Shapes the spectrum with low and high shelving bands plus a sweepable mid-frequency peak band.	Use it for broad tonal balance: add or remove weight, presence and brightness without changing timing or pitch.	Mid Gain, High Gain, Mid Frequency, Low Gain	505
